id	name	location	date
317	1979 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1979-04-08
318	1979 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1979-04-29
319	1979 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1979-05-13
320	1979 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1979-05-27
321	1979 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1979-06-01
322	1979 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1979-07-14
323	1979 German Grand Prix	Hockenheimring, Hockenheim, Germany	1979-07-29
324	1979 Austrian Grand Prix	Österreichring, Spielberg, Austria	1979-08-12
325	1979 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1979-08-26
326	1979 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1979-09-09
327	1979 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1979-09-30
328	1979 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1979-10-07
329	1980 Argentinian Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1980-01-13
330	1980 Brazilian Grand Prix	Interlagos Circuit, São Paulo, Brazil	1980-01-27
331	1980 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1980-03-01
332	1980 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1980-03-30
333	1980 Belgian Grand Prix	Circuit de Zolder, Heusden-Zolder, Belgium	1980-05-04
334	1980 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1980-05-18
335	1980 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1980-06-08
336	1980 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1980-07-13
337	1980 German Grand Prix	Hockenheimring, Hockenheim, Germany	1980-07-27
338	1980 Austrian Grand Prix	Österreichring, Spielberg, Austria	1980-08-10
339	1980 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1980-08-17
340	1980 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1980-09-07
341	1980 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1980-09-28
342	1980 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1980-10-05
343	1981 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1981-03-15
344	1981 Brazilian Grand Prix	Interlagos Circuit, São Paulo, Brazil	1981-03-29
345	1981 Argentinian Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1981-04-12
346	1981 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1981-05-03
347	1981 Belgian Grand Prix	Circuit Zolder, Heusden-Zolder, Belgium	1981-05-17
348	1981 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1981-05-31
349	1981 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1981-06-21
350	1981 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1981-07-05
351	1981 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1981-07-18
352	1981 German Grand Prix	Hockenheimring, Hockenheim, Germany	1981-08-02
353	1981 Austrian Grand Prix	Österreichring, Spielberg, Austria	1981-08-16
354	1981 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1981-08-30
355	1981 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1981-09-13
356	1981 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1981-09-27
357	1981 Caesars Palace Grand Prix	Caesars Palace, Las Vegas, Nevada, USA	1981-10-17
358	1982 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1982-01-23
359	1982 Brazilian Grand Prix	Jacarepaguá Circuit, Rio de Janeiro, Brazil	1982-03-21
360	1982 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1982-04-04
361	1982 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1982-04-25
362	1982 Belgian Grand Prix	Circuit Zolder, Heusden-Zolder, Belgium	1982-05-09
363	1982 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1982-05-23
364	1982 Detroit Grand Prix	Detroit Street Circuit, Detroit, Michigan, USA	1982-06-06
365	1982 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1982-06-13
366	1982 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1982-07-03
367	1982 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1982-07-18
368	1982 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1982-07-25
369	1982 German Grand Prix	Hockenheimring, Hockenheim, Germany	1982-08-08
370	1982 Austrian Grand Prix	Österreichring, Spielberg, Austria	1982-08-15
371	1982 Swiss Grand Prix	Circuit Dijon-Prenois, Prenois, France	1982-08-29
372	1982 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1982-09-05
373	1982 Caesars Palace Grand Prix	Caesars Palace, Las Vegas, Nevada, USA	1982-09-12
374	1983 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet, Rio de Janeiro, Brazil	1983-03-13
375	1983 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1983-03-27
376	1983 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1983-04-17
377	1983 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1983-05-01
378	1983 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1983-05-15
379	1983 Belgian Grand Prix	Circuit Zolder, Heusden-Zolder, Belgium	1983-05-22
380	1983 Detroit Grand Prix	Detroit Street Circuit, Detroit, Michigan, USA	1983-06-05
381	1983 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1983-06-12
382	1983 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1983-07-16
383	1983 German Grand Prix	Hockenheimring, Hockenheim, Germany	1983-07-30
384	1983 Austrian Grand Prix	Österreichring, Spielberg, Austria	1983-08-14
385	1983 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1983-08-28
386	1983 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1983-09-11
387	1983 European Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1983-09-25
388	1983 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1983-10-15
389	1984 Brazilian Grand Prix	Jacarepaguá Circuit, Rio de Janeiro, Brazil	1984-03-25
390	1984 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1984-03-07
391	1984 Belgian Grand Prix	Circuit Zolder, Heusden-Zolder, Belgium	1984-03-31
392	1984 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1984-05-06
393	1984 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1984-05-20
394	1984 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1984-06-03
395	1984 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1984-06-17
396	1984 Detroit Grand Prix	Detroit Street Circuit, Detroit, Michigan, USA	1984-06-24
397	1984 Dallas Grand Prix	Fair Park, Dallas, Texas, USA	1984-07-08
398	1984 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1984-07-22
399	1984 German Grand Prix	Hockenheimring, Hockenheim, Germany	1984-08-05
400	1984 Austrian Grand Prix	Österreichring, Spielberg, Austria	1984-08-19
401	1984 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1984-09-02
402	1984 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1984-09-09
403	1984 European Grand Prix	Nürburgring, Nürburg, Germany	1984-10-07
404	1984 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1984-10-21
405	1985 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet/Jacarepaguá	1985-04-07
406	1985 Portuguese Grand Prix	Autódromo do Estoril, Estoril	1985-04-21
407	1985 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola	1985-05-05
408	1985 Monaco Grand Prix	Circuit de Monaco, Monte Carlo	1985-05-19
409	1985 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal	1985-06-16
410	1985 Detroit Grand Prix	Detroit Street Circuit, Detroit	1985-06-23
411	1985 French Grand Prix	Circuit Paul Ricard, Le Castellet	1985-07-07
412	1985 British Grand Prix	Silverstone Circuit, Silverstone	1985-07-21
413	1985 German Grand Prix	Nürburgring, Nürburg	1985-08-04
414	1985 Austrian Grand Prix	Österreichring, Spielberg	1985-08-18
415	1985 Dutch Grand Prix	Circuit Zandvoort, Zandvoort	1985-08-25
416	1985 Italian Grand Prix	Autodromo Nazionale Monza, Monza	1985-09-08
417	1985 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa	1985-09-15
418	1985 European Grand Prix	Brands Hatch Circuit, Kent	1985-09-29
419	1985 South African Grand Prix	Kyalami Circuit, Midrand	1985-10-19
420	1985 Australian Grand Prix	Adelaide Street Circuit, Adelaide	1985-11-03
421	1986 Brazilian Grand Prix	Jacarepaguá Circuit, Rio de Janeiro, Brazil	1986-03-23
422	1986 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1986-04-13
423	1986 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1986-04-27
424	1986 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1986-05-11
425	1986 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa, Belgium	1986-05-25
426	1986 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal, Quebec, Canada	1986-06-15
427	1986 Detroit Grand Prix	Detroit Street Circuit, Detroit, Michigan, USA	1986-06-22
428	1986 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1986-07-06
429	1986 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1986-07-13
430	1986 German Grand Prix	Hockenheimring, Hockenheim, Germany	1986-07-27
431	1986 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1986-08-10
432	1986 Austrian Grand Prix	Österreichring, Spielberg, Austria	1986-08-17
433	1986 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1986-09-07
434	1986 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1986-09-21
435	1986 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City, Mexico	1986-10-12
436	1986 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1986-10-26
437	1987 Brazilian Grand Prix	Jacarepaguá Circuit, Rio de Janeiro, Brazil	1987-04-12
438	1987 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1987-05-03
439	1987 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa, Belgium	1987-05-17
440	1987 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1987-05-31
441	1987 Detroit Grand Prix	Detroit Street Circuit, Detroit, Michigan, USA	1987-06-21
442	1987 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1987-07-05
443	1987 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1987-07-12
444	1987 German Grand Prix	Hockenheimring, Hockenheim, Germany	1987-07-26
445	1987 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1987-08-09
446	1987 Austrian Grand Prix	Österreichring, Spielberg, Austria	1987-08-16
447	1987 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1987-09-06
448	1987 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1987-09-20
449	1987 Spanish Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera, Spain	1987-10-27
450	1987 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City, Mexico	1987-11-15
451	1987 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1987-11-01
452	1987 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1987-11-14
453	1988 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet/Jacarepaguá	1988-04-03
454	1988 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola	1988-05-01
455	1988 Monaco Grand Prix	Circuit de Monaco, Monte Carlo	1988-05-15
456	1988 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City	1988-05-29
457	1988 Canadian Grand Prix	Circuit Île Notre-Dame, Montreal	1988-06-12
458	1988 Detroit Grand Prix	Detroit Street Circuit, Detroit	1988-06-19
459	1988 French Grand Prix	Circuit Paul Ricard, Le Castellet	1988-07-03
460	1988 British Grand Prix	Silverstone Circuit, Silverstone	1988-07-10
461	1988 German Grand Prix	Hockenheimring, Hockenheim	1988-07-31
462	1988 Hungarian Grand Prix	Hungaroring, Budapest	1988-08-07
463	1988 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa	1988-08-28
464	1988 Italian Grand Prix	Autodromo Nazionale Monza, Monza	1988-09-11
465	1988 Portuguese Grand Prix	Autódromo do Estoril, Estoril	1988-09-25
466	1988 Spanish Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera	1988-10-02
467	1988 Japanese Grand Prix	Suzuka Circuit, Suzuka	1988-10-30
468	1988 Australian Grand Prix	Adelaide Street Circuit, Adelaide	1988-11-13
469	1989 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet, Rio de Janeiro	1989-03-26
470	1989 San Marino Grand Prix	Autodromo Dino Ferrari, Imola	1989-04-23
471	1989 Monaco Grand Prix	Circuit de Monaco, Monte Carlo	1989-05-07
472	1989 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City	1989-05-28
473	1989 United States Grand Prix	Phoenix Street Circuit, Phoenix, Arizona	1989-06-04
474	1989 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal	1989-06-18
475	1989 French Grand Prix	Circuit Paul Ricard, Le Castellet	1989-07-09
476	1989 British Grand Prix	Silverstone Circuit, Silverstone	1989-07-16
477	1989 German Grand Prix	Hockenheimring, Hockenheim	1989-07-30
478	1989 Hungarian Grand Prix	Hungaroring, Budapest	1989-08-13
479	1989 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa	1989-08-27
480	1989 Italian Grand Prix	Autodromo Nazionale Monza, Monza	1989-09-10
481	1989 Portuguese Grand Prix	Autódromo do Estoril, Estoril	1989-09-24
482	1989 Spanish Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera	1989-10-01
483	1989 Japanese Grand Prix	Suzuka Circuit, Suzuka	1989-10-22
484	1989 Australian Grand Prix	Adelaide Street Circuit, Adelaide	1989-11-05
485	1990 United States Grand Prix	Phoenix Street Circuit, Phoenix, Arizona, USA	1990-03-11
486	1990 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1990-03-25
487	1990 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1990-04-15
488	1990 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1990-05-06
489	1990 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1990-06-10
490	1990 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City, Mexico	1990-06-24
491	1990 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1990-07-08
492	1990 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1990-07-15
493	1990 German Grand Prix	Hockenheimring, Hockenheim, Germany	1990-07-29
494	1990 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1990-08-12
495	1990 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa, Belgium	1990-08-26
496	1990 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1990-09-09
497	1990 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1990-09-23
498	1990 Spanish Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera, Spain	1990-09-30
499	1990 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1990-10-21
500	1990 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1990-11-04
501	1991 United States Grand Prix	Phoenix Street Circuit, Phoenix, Arizona, USA	1991-03-10
502	1991 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1991-03-24
503	1991 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1991-04-28
504	1991 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1991-05-12
505	1991 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1991-06-02
506	1991 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City, Mexico	1991-06-16
507	1991 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1991-07-07
508	1991 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1991-07-14
509	1991 German Grand Prix	Hockenheimring, Hockenheim, Germany	1991-07-28
510	1991 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1991-08-11
511	1991 Belgian Grand Prix	Circuit Spa-Francorchamps, Spa, Belgium	1991-08-25
512	1991 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1991-09-08
513	1991 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1991-09-22
514	1991 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1991-09-29
515	1991 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1991-10-20
516	1991 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1991-11-03
517	1992 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1992-03-01
518	1992 Mexican Grand Prix	Autódromo Hermanos Rodríguez, Mexico City, Mexico	1992-03-22
519	1992 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet, Rio de Janeiro, Brazil	1992-04-05
520	1992 Spanish Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera, Spain	1992-05-03
521	1992 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1992-05-17
522	1992 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1992-05-31
523	1992 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1992-06-14
524	1992 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1992-07-05
525	1992 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1992-07-12
526	1992 German Grand Prix	Hockenheimring, Hockenheim, Germany	1992-07-26
527	1992 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1992-08-09
528	1992 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1992-08-30
529	1992 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1992-09-13
530	1992 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1992-09-27
531	1992 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1992-10-11
532	1992 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1992-11-08
533	1993 South African Grand Prix	Kyalami Grand Prix Circuit, Midrand, South Africa	1993-03-14
534	1993 Brazilian Grand Prix	Autódromo José Carlos Pace, São Paulo, Brazil	1993-03-28
535	1993 European Grand Prix	Donington Park Circuit, Leicestershire, England	1993-04-11
536	1993 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1993-04-25
537	1993 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1993-05-09
538	1993 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1993-05-23
539	1993 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1993-06-13
540	1993 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1993-06-27
541	1993 British Grand Prix	Silverstone Circuit, Silverstone, England	1993-07-11
542	1993 German Grand Prix	Hockenheimring, Hockenheim, Germany	1993-08-01
543	1993 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1993-08-15
544	1993 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1993-08-29
545	1993 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1993-09-12
546	1993 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1993-09-26
547	1993 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1993-10-24
548	1993 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1993-11-07
549	1994 Brazilian Grand Prix	Autódromo José Carlos Pace, São Paulo, Brazil	1994-03-27
550	1994 Pacific Grand Prix	TI Circuit Aida, Mimasaka, Japan	1994-04-17
551	1994 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1994-05-01
552	1994 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1994-05-15
553	1994 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1994-05-29
554	1994 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1994-06-12
555	1994 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1994-07-03
556	1994 British Grand Prix	Silverstone Circuit, Silverstone, England	1994-07-10
557	1994 German Grand Prix	Hockenheimring, Hockenheim, Germany	1994-07-31
558	1994 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1994-08-14
559	1994 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1994-08-28
560	1994 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1994-09-11
561	1994 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1994-09-25
562	1994 European Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera, Spain	1994-10-16
563	1994 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1994-11-06
564	1994 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1994-11-13
565	1995 Brazilian Grand Prix	Autódromo Internacional Nelson Piquet, Rio de Janeiro, Brazil	1995-03-26
566	1995 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1995-04-09
567	1995 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1995-04-30
568	1995 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1995-05-14
569	1995 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1995-05-28
570	1995 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1995-06-11
571	1995 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1995-07-02
572	1995 British Grand Prix	Silverstone Circuit, Silverstone, England	1995-07-16
573	1995 German Grand Prix	Hockenheimring, Hockenheim, Germany	1995-07-30
574	1995 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1995-08-13
575	1995 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1995-08-27
576	1995 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1995-09-10
577	1995 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1995-09-24
578	1995 European Grand Prix	Nürburgring, Nürburg, Germany	1995-10-01
579	1995 Pacific Grand Prix	TI Circuit Aida, Mimasaka, Japan	1995-10-22
580	1995 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1995-10-29
581	1995 Australian Grand Prix	Adelaide Street Circuit, Adelaide, Australia	1995-11-12
582	1996 Australian Grand Prix	Albert Park Grand Prix Circuit, Melbourne, Australia	1996-03-10
583	1996 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1996-03-31
584	1996 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1996-04-07
585	1996 European Grand Prix	Nürburgring, Nürburg, Germany	1996-04-28
586	1996 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1996-05-05
587	1996 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1996-05-19
588	1996 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1996-06-02
589	1996 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1996-06-16
590	1996 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1996-07-07
591	1996 British Grand Prix	Silverstone Circuit, Silverstone, England	1996-07-21
592	1996 German Grand Prix	Hockenheimring, Hockenheim, Germany	1996-08-04
593	1996 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1996-08-18
594	1996 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1996-08-25
595	1996 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1996-09-08
596	1996 Portuguese Grand Prix	Autódromo do Estoril, Estoril, Portugal	1996-09-22
597	1996 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1996-10-13
598	1997 Australian Grand Prix	Albert Park Grand Prix Circuit, Melbourne, Australia	1997-03-09
599	1997 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1997-03-30
600	1997 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1997-04-13
601	1997 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1997-04-27
602	1997 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1997-05-11
603	1997 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1997-05-25
604	1997 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1997-06-15
605	1997 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1997-06-29
606	1997 British Grand Prix	Silverstone Circuit, Silverstone, England	1997-07-13
607	1997 German Grand Prix	Hockenheimring, Hockenheim, Germany	1997-08-03
608	1997 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1997-08-10
609	1997 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1997-08-24
610	1997 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1997-09-07
611	1997 Austrian Grand Prix	A1-Ring, Spielberg, Austria	1997-09-21
612	1997 Luxembourg Grand Prix	Nürburgring, Nürburg, Germany	1997-10-26
613	1997 Japanese Grand Prix	Suzuka Circuit, Suzuka, Japan	1997-10-12
614	1997 European Grand Prix	Circuito Permanente de Jerez, Jerez de la Frontera, Spain	1997-10-26
615	1998 Australian Grand Prix	Albert Park Grand Prix Circuit, Melbourne, Australia	1998-03-08
616	1998 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1998-03-29
617	1998 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1998-04-12
618	1998 San Marino Grand Prix	Autodromo Enzo e Dino Ferrari, Imola, Italy	1998-04-26
619	1998 Spanish Grand Prix	Circuit de Catalunya, Barcelona, Spain	1998-05-10
620	1998 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1998-05-24
621	1998 Canadian Grand Prix	Circuit Gilles Villeneuve, Montreal, Quebec, Canada	1998-06-07
622	1998 French Grand Prix	Circuit de Nevers Magny-Cours, Magny-Cours, France	1998-06-28
623	1998 British Grand Prix	Silverstone Circuit, Silverstone, England	1998-07-12
624	1998 Austrian Grand Prix	A1-Ring, Spielberg, Austria	1998-07-26
625	1998 German Grand Prix	Hockenheimring, Hockenheim, Germany	1998-08-02
626	1998 Hungarian Grand Prix	Hungaroring, Budapest, Hungary	1998-08-16
627	1998 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1998-08-30
628	1998 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1998-09-13
629	1998 Luxembourg Grand Prix	Nürburgring, Nürburg, Germany	1998-09-27
